product_id,model,window,MAE,RMSE,MAPE,bias,scenario
P0007,baseline,val,112.98724489795919,132.483927596628,31.905450055060953,43.107142857142875,
P0007,model,val,149.18252152028077,175.59618440004573,45.28245452167269,122.79088411427412,bez_epidemii
P0004,baseline,val,103.62244897959184,131.01921400609723,27.402337476371834,-11.71428571428569,
P0004,model,val,102.0848851418667,130.656778359382,28.221681073224687,7.946639351192549,bez_epidemii
P0009,baseline,val,106.3137755102041,137.31350525163137,24.512996444442994,44.7857142857143,
P0009,model,val,102.74520416229612,133.86405174478838,23.400885783024012,35.97669811938487,bez_epidemii
