Date,actual,epidemic_actual,split,baseline,model_ep0,model_ep1,model_ep_actual
2022-05-24,6095.0,1.0,train,,,,
2022-05-25,6510.0,1.0,train,,,,
2022-05-26,8697.0,0.0,train,,,,
2022-05-27,9571.0,0.0,train,,,,
2022-05-28,9424.0,0.0,train,,,,
2022-05-29,8845.0,0.0,train,,,,
2022-05-30,9196.0,0.0,train,,,,
2022-05-31,9091.0,0.0,train,,,,
2022-06-01,9544.0,0.0,train,,,,
2022-06-02,10039.0,0.0,train,,,,
2022-06-03,9818.0,0.0,train,,,,
2022-06-04,9170.0,0.0,train,,,,
2022-06-05,9145.0,0.0,train,,,,
2022-06-06,9561.0,0.0,train,,,,
2022-06-07,8889.0,0.0,train,,,,
2022-06-08,10667.0,0.0,train,,,,
2022-06-09,9669.0,0.0,train,,,,
2022-06-10,9891.0,0.0,train,,,,
2022-06-11,11391.0,0.0,train,,,,
2022-06-12,10883.0,0.0,train,,,,
2022-06-13,9602.0,0.0,train,,,,
2022-06-14,10181.0,0.0,train,,,,
2022-06-15,10798.0,0.0,train,,,,
2022-06-16,9928.0,0.0,train,,,,
2022-06-17,10361.0,0.0,train,,,,
2022-06-18,9321.0,0.0,train,,,,
2022-06-19,10430.0,0.0,train,,,,
2022-06-20,10095.0,0.0,train,,,,
2022-06-21,10644.0,0.0,train,,,,
2022-06-22,10749.0,0.0,train,,,,
2022-06-23,9380.0,0.0,train,,,,
2022-06-24,10006.0,0.0,train,,,,
2022-06-25,10248.0,0.0,train,,,,
2022-06-26,11178.0,0.0,train,,,,
2022-06-27,9709.0,0.0,train,,,,
2022-06-28,10510.0,0.0,train,,,,
2022-06-29,5461.0,1.0,train,,,,
2022-06-30,5548.0,1.0,train,,,,
2022-07-01,5774.0,1.0,train,,,,
2022-07-02,5552.0,1.0,train,,,,
2022-07-03,6701.0,1.0,train,,,,
2022-07-04,6950.0,1.0,train,,,,
2022-07-05,5841.0,1.0,train,,,,
2022-07-06,6479.0,1.0,train,,,,
2022-07-07,6788.0,1.0,train,,,,
2022-07-08,6774.0,1.0,train,,,,
2022-07-09,6095.0,1.0,train,,,,
2022-07-10,6661.0,1.0,train,,,,
2022-07-11,6257.0,1.0,train,,,,
2022-07-12,6271.0,1.0,train,,,,
2022-07-13,6716.0,1.0,train,,,,
2022-07-14,6465.0,1.0,train,,,,
2022-07-15,6380.0,1.0,train,,,,
2022-07-16,6267.0,1.0,train,,,,
2022-07-17,6510.0,1.0,train,,,,
2022-07-18,6005.0,1.0,train,,,,
2022-07-19,6180.0,1.0,train,,,,
2022-07-20,6208.0,1.0,train,,,,
2022-07-21,5975.0,1.0,train,,,,
2022-07-22,6660.0,1.0,train,,,,
2022-07-23,7466.0,1.0,train,,,,
2022-07-24,5703.0,1.0,train,,,,
2022-07-25,9478.0,0.0,train,,,,
2022-07-26,10501.0,0.0,train,,,,
2022-07-27,9476.0,0.0,train,,,,
2022-07-28,9709.0,0.0,train,,,,
2022-07-29,8366.0,0.0,train,,,,
2022-07-30,9827.0,0.0,train,,,,
2022-07-31,10122.0,0.0,train,,,,
2022-08-01,9543.0,0.0,train,,,,
2022-08-02,9997.0,0.0,train,,,,
2022-08-03,10465.0,0.0,train,,,,
2022-08-04,10541.0,0.0,train,,,,
2022-08-05,10100.0,0.0,train,,,,
2022-08-06,10198.0,0.0,train,,,,
2022-08-07,10271.0,0.0,train,,,,
2022-08-08,9864.0,0.0,train,,,,
2022-08-09,11119.0,0.0,train,,,,
2022-08-10,9437.0,0.0,train,,,,
2022-08-11,9843.0,0.0,train,,,,
2022-08-12,9735.0,0.0,train,,,,
2022-08-13,9875.0,0.0,train,,,,
