model,window,scenario,MAE,RMSE,MAPE,MPE,bias
baseline,val,-,1053.5,1417.9439218675839,14.376176269407301,6.023782740595894,225.60714285714363
model,val,bez_epidemii,1284.4327090838935,1748.6101882387939,18.31288307948257,16.139531893506867,1059.5457651041027
model,val,epidemia_rzeczywista,630.1909816407832,762.7535823710019,7.48347533644649,3.8211673182800934,307.3030499334731
lgbm,val,bez_epidemii,1226.4775699519603,1640.052592893506,17.266237693137466,14.346387894345797,930.3022010231073
lgbm,val,epidemia_rzeczywista,670.4212582851706,807.1457225837636,8.052573597658744,3.4542395916730673,265.0394027930327
baseline,cv5_mean,-,890.880612244898,1162.860481339079,11.821753917366106,7.977650487421167,483.4642857142859
model,cv5_mean,bez_epidemii,828.6095310098984,1109.616683086821,11.281501588298125,7.2962374623569435,406.01392438932487
lgbm,cv5_mean,bez_epidemii,865.3541008518544,1167.4926427716382,11.632821731671608,7.020360402714465,380.9416695340281
